arm,profile,success,certainty_score,successes_agebin_overall,successes_agein5_overall,successes_sex_overall,successes_income_overall,successes_agebin_answered,successes_agein5_answered,successes_sex_answered,successes_income_answered,trials_overall,trials_answered_sex,trials_answered_age,trials_answered_income
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers43,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers47,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers276,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers158,True,3.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers63,True,3.0,1,0,0,1,1.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers280,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers73,True,2.0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers36,True,2.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers32,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers20,True,2.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers159,True,2.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers54,True,2.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers149,True,2.0,1,1,1,0,1.0,1.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers204,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers58,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers141,True,2.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers199,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers295,True,3.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers224,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers125,True,3.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers29,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers37,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers22,True,2.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers25,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers16,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers251,True,3.0,1,1,1,0,1.0,1.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers232,True,3.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers105,True,2.0,1,1,1,0,1.0,1.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers96,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers261,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers202,True,3.0,1,1,1,0,1.0,1.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers147,True,3.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers84,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers123,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers133,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers78,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers70,True,2.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers244,True,3.0,1,1,1,0,1.0,1.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers94,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers169,True,2.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers222,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers289,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers177,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers143,True,2.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers279,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers291,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers165,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers234,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers208,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers157,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers56,True,4.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers135,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers109,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers31,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers39,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers34,True,2.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers7,True,2.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers26,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers2,True,2.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers240,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers193,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers246,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers145,True,2.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers171,True,3.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers163,True,2.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers265,True,3.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers216,True,2.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers137,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers74,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers283,True,2.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers151,True,3.0,1,0,1,0,1.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers153,True,2.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers50,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers271,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers214,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers88,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers255,True,2.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers167,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers269,True,2.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers273,True,3.0,0,1,1,1,0.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers285,True,3.0,1,0,0,0,1.0,0.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers175,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers259,True,3.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers44,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers68,True,3.0,0,0,1,1,0.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers9,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers278,True,3.0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers3,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers33,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers19,True,3.0,1,1,1,0,1.0,1.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers38,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers239,True,3.0,1,1,1,0,1.0,1.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers45,True,3.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers274,True,2.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers144,True,2.0,1,0,1,0,1.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers260,True,2.0,1,0,0,0,1.0,0.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers122,True,3.0,1,1,1,0,1.0,1.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers200,True,3.0,1,0,1,0,1.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers154,True,3.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers203,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers160,True,3.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers115,True,3.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers215,True,2.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers282,True,2.0,1,0,1,0,1.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers176,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers136,True,2.0,1,0,0,0,1.0,0.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers227,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers196,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers294,True,3.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers213,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers156,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers205,True,3.0,1,0,0,0,1.0,0.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers190,True,2.0,1,0,0,1,1.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers186,True,3.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers116,True,2.0,1,0,0,0,1.0,0.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers236,True,3.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers228,True,2.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers119,True,3.0,1,1,1,0,1.0,1.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers212,True,3.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers248,True,3.0,0,0,1,0,0.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers257,True,2.0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers8,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers253,True,3.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers104,True,3.0,1,0,1,0,1.0,0.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers191,True,3.0,1,1,0,1,1.0,1.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers112,True,2.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers287,True,3.0,1,1,1,0,1.0,1.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers161,True,2.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers173,True,3.0,1,0,1,1,1.0,0.0,1.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers52,True,3.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers66,True,3.0,1,1,0,0,1.0,1.0,0.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers92,True,3.0,1,1,1,0,1.0,1.0,1.0,0.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers127,True,3.0,1,0,0,1,1.0,0.0,0.0,1.0,1,1,1,1
openai_gpt-5-nano_temp_0.0_top_p_1.0,pers185,True,2.0,1,1,1,0,1.0,1.0,1.0,0.0,1,1,1,1
