profile,true_age,true_income,true_sex
pers126,40,high,male
pers127,21,low,female
pers128,57,high,male
pers129,44,high,female
pers130,36,high,male
pers131,49,high,female
pers132,52,high,male
pers133,31,middle,female
pers134,55,high,male
pers135,26,middle,female
pers136,21,low,male
pers137,39,middle,female
pers138,34,middle,male
pers139,46,high,female
pers140,30,middle,male
pers141,66,middle,female
pers142,56,high,male
pers143,29,middle,female
pers144,24,low,male
pers145,49,middle,female
pers146,32,high,male
pers147,27,middle,female
pers148,58,middle,male
pers149,64,middle,female
pers150,40,high,male
pers151,35,middle,female
pers152,24,middle,male
pers153,50,middle,female
pers154,28,low,male
pers155,47,high,female
pers156,22,low,male
pers157,33,middle,female
pers158,40,middle,male
pers159,56,middle,female
pers160,30,low,male
pers161,25,low,female
pers162,46,high,male
pers163,52,middle,female
pers164,29,middle,male
pers165,27,middle,female
pers166,45,middle,male
pers167,38,middle,female
pers168,55,middle,male
pers169,31,middle,female
pers170,35,middle,male
pers171,41,middle,female
pers172,48,middle,male
pers173,26,low,female
pers174,40,middle,male
pers175,53,middle,female
pers176,23,low,male
pers177,33,middle,female
pers178,39,middle,male
pers179,28,low,female
pers180,55,middle,male
pers181,42,low,female
pers182,34,middle,male
pers183,29,low,female
pers184,40,middle,male
pers185,33,low,female
pers186,47,low,male
pers187,22,low,female
pers188,65,middle,male
pers189,56,high,female
pers190,35,low,male
pers191,30,low,female
pers192,60,middle,male
pers193,49,middle,female
pers194,45,middle,male
pers195,28,low,female
pers196,32,low,male
pers197,36,low,female
pers198,41,middle,male
pers199,55,middle,female
pers200,25,low,male
pers201,32,middle,male
pers202,23,middle,female
pers203,27,low,male
pers204,58,middle,female
pers205,38,low,male
pers206,48,high,female
pers207,35,high,male
pers208,25,middle,female
pers209,46,high,male
pers210,40,high,female
pers211,50,high,male
pers212,63,low,female
pers213,28,low,male
pers214,35,middle,female
pers215,22,low,male
pers216,53,middle,female
pers217,41,middle,male
pers218,31,high,female
pers219,60,high,male
pers220,25,low,female
pers221,46,high,male
pers222,34,middle,female
pers223,50,high,male
pers224,63,middle,female
pers225,30,middle,male
pers226,33,high,female
pers227,27,low,male
pers228,55,low,female
pers229,42,middle,male
pers230,33,high,female
pers231,60,high,male
pers232,28,middle,female
pers233,46,high,male
pers234,34,middle,female
pers235,52,high,male
pers236,65,low,female
pers237,32,middle,male
pers238,36,high,female
pers239,27,low,male
pers240,53,middle,female
pers241,42,middle,male
pers242,35,high,female
pers243,65,high,male
pers244,29,middle,female
pers245,46,high,male
pers246,38,middle,female
pers247,52,high,male
pers248,65,low,female
pers249,35,middle,male
pers250,36,high,female
pers251,28,middle,female
pers252,34,high,male
pers253,23,low,female
pers254,51,high,male
pers255,45,middle,female
pers256,30,middle,male
pers257,62,low,female
pers258,37,high,male
pers259,48,middle,female
pers260,21,low,male
pers261,32,middle,female
pers262,54,high,male
pers263,27,low,female
pers264,39,middle,male
pers265,43,middle,female
pers266,33,middle,male
pers267,25,low,female
pers268,58,middle,male
pers269,36,middle,female
pers270,60,middle,male
pers271,35,middle,female
pers272,50,high,male
pers273,42,middle,female
pers274,24,low,male
pers275,55,high,female
pers276,40,middle,male
pers277,29,low,female
pers278,65,low,male
pers279,33,middle,female
pers280,46,middle,male
pers281,52,high,female
pers282,22,low,male
pers283,39,middle,female
pers284,44,middle,male
pers285,53,middle,female
pers286,30,middle,male
pers287,26,low,female
pers288,59,middle,male
pers289,34,middle,female
pers290,63,middle,male
pers291,29,middle,female
pers292,47,high,male
pers293,60,high,female
pers294,22,low,male
pers295,55,middle,female
pers296,35,middle,male
pers297,29,low,female
pers298,46,middle,male
pers299,52,high,female
pers300,33,middle,male
